timestamp,pavilion_name,wait_time_raw,post_time_raw
2025-08-01T20:28:26.499279+09:00,未来の都市,情報なし,情報なし
2025-08-01T20:28:26.499283+09:00,BLUE  OCEAN  DOME,予約のみ,予約のみ
2025-08-01T20:28:26.499295+09:00,GUNDAMNEXT  FUTURE  PAVILION,予約のみ,予約のみ
2025-08-01T20:28:26.499299+09:00,ORA外食パビリオン  「宴～UTAGE～」,情報なし,情報なし
2025-08-01T20:28:26.499304+09:00,PASONA  NATUREVERSE,0時間15分,16分前
2025-08-01T20:28:26.499308+09:00,TECH WORLD,1時間20分,60分以上前
2025-08-01T20:28:26.499312+09:00,ガスパビリオン  おばけワンダーランド,情報なし,情報なし
2025-08-01T20:28:26.499316+09:00,よしもと  waraii myraii館,情報なし,情報なし
2025-08-01T20:28:26.499320+09:00,飯田グループ ×大阪公立大学 共同出展館,0時間20分,60分以上前
2025-08-01T20:28:26.499324+09:00,NTT Pavilion,予約のみ,予約のみ
2025-08-01T20:28:26.499328+09:00,ウーマンズパビリオン  in collaboration  with Cartier,0時間40分,60分以上前
2025-08-01T20:28:26.499333+09:00,パナソニック グループパビリオン 「ノモの国」,予約のみ,予約のみ
2025-08-01T20:28:26.499337+09:00,関西パビリオン,予約のみ,予約のみ
2025-08-01T20:28:26.499341+09:00,三菱未来館,0時間30分,60分以上前
2025-08-01T20:28:26.499345+09:00,住友館,0時間30分,60分以上前
2025-08-01T20:28:26.499349+09:00,大阪ヘルスケア パビリオン,情報なし,情報なし
2025-08-01T20:28:26.499353+09:00,電力館 可能性の タマゴたち,予約のみ,予約のみ
2025-08-01T20:28:26.499357+09:00,日本館,5時間10分,60分以上前
2025-08-01T21:37:19.289283+09:00,アメリカ（米国）,0時間30分,56分前
2025-08-01T21:37:19.289309+09:00,アラブ首長国連邦,0時間10分以下,60分以上前
2025-08-01T21:37:19.289316+09:00,オーストリア,0時間30分,60分以上前
2025-08-01T21:37:19.289322+09:00,カタール,0時間10分以下,60分以上前
2025-08-01T21:37:19.289326+09:00,カナダ,0時間40分,60分以上前
2025-08-01T21:37:19.289331+09:00,クウェート,0時間40分,60分以上前
2025-08-01T21:37:19.289335+09:00,コモンズ-A,0時間10分以下,60分以上前
2025-08-01T21:37:19.289343+09:00,コロンビア,0時間15分,60分以上前
2025-08-01T21:37:19.289351+09:00,スイス,0時間50分,60分以上前
2025-08-01T21:37:19.289356+09:00,チェコ,0時間20分,60分以上前
2025-08-01T21:37:19.289360+09:00,トルクメニスタン,0時間20分,60分以上前
2025-08-01T21:37:19.289364+09:00,バーレーン,0時間20分,60分以上前
2025-08-01T21:37:19.289368+09:00,フィリピン,0時間30分,60分以上前
2025-08-01T21:37:19.289372+09:00,ブラジル,0時間20分,60分以上前
2025-08-01T21:37:19.289376+09:00,フランス,0時間20分,60分以上前
2025-08-01T21:37:19.289379+09:00,ベトナム,0時間10分以下,60分以上前
2025-08-01T21:37:19.289383+09:00,ペルー,0時間20分,60分以上前
2025-08-01T21:37:19.289387+09:00,ポルトガル,0時間10分以下,60分以上前
2025-08-01T21:37:19.289391+09:00,マルタ,0時間20分,60分以上前
2025-08-01T21:37:19.289395+09:00,マレーシア,0時間20分,60分以上前
2025-08-01T21:37:19.289399+09:00,ミャクミャクハウス,情報なし,情報なし
2025-08-01T21:37:19.289404+09:00,モザンビーク,0時間10分以下,60分以上前
2025-08-01T21:37:19.289408+09:00,ヨルダン,情報なし,情報なし
2025-08-01T21:37:19.289412+09:00,ロボット ＆モビリティ ステーション,情報なし,情報なし
2025-08-01T21:37:19.289416+09:00,国際機関協同館,情報なし,情報なし
2025-08-01T21:37:19.289420+09:00,国際赤十字 ・赤新月運動館,0時間30分,60分以上前
2025-08-01T21:37:19.289424+09:00,国連,情報なし,情報なし
2025-08-01T21:37:19.289428+09:00,中国,0時間20分,60分以上前
2025-08-01T21:37:19.289432+09:00,北欧館,0時間20分,60分以上前
2025-08-01T21:37:19.289436+09:00,万博博物館,情報なし,情報なし
2025-08-01T21:37:19.289439+09:00,アゼルバイジャン,0時間20分,60分以上前
2025-08-01T21:37:19.289443+09:00,インドネシア,0時間10分以下,60分以上前
2025-08-01T21:37:19.289447+09:00,インド,0時間10分以下,58分前
2025-08-01T21:37:19.289451+09:00,ウズベキスタン,0時間40分,60分以上前
2025-08-01T21:37:19.289455+09:00,エジプト,0時間40分,60分以上前
2025-08-01T21:37:19.289459+09:00,オーストラリア,0時間10分以下,60分以上前
2025-08-01T21:37:19.289463+09:00,コモンズ-B,情報なし,情報なし
2025-08-01T21:37:19.289466+09:00,コモンズ-F,0時間40分,60分以上前
2025-08-01T21:37:19.289470+09:00,サウジアラビア,0時間10分以下,60分以上前
